HP:0000002	abnormality body height
HP:0000003	dysplastic kidney multicystic
HP:0000003	kidneys multicystic
HP:0000003	dysplasia kidney multicystic
HP:0000003	dysplasia multicystic renal
HP:0000008	abnormality female genitalia internal
HP:0000008	abnormal female genitalia internal morphology
HP:0000009	abnormality bladder functional
HP:0000009	bladder function poor
HP:0000010	infections repeated tract urinary
HP:0000010	bladder infections repeated
HP:0000010	frequent infections tract urinary
HP:0000010	recurrent utis
HP:0000010	infections tract urinary
HP:0000010	infections recurrent tract urinary
HP:0000011	bladder control due injury lack nervous system to
HP:0000011	bladder neurogenic
HP:0000012	bladder overactive syndrome
HP:0000012	bladder overactive
HP:0000012	frequency syndrome urgency
HP:0000012	urgency urinary
HP:0000013	small uterus
HP:0000013	hypoplastic uterus
HP:0000013	hypoplasia uterus
HP:0000013	underdeveloped uterus
HP:0000013	rudimentary uterus
HP:0000014	abnormality bladder
HP:0000015	bladder diverticula
HP:0000015	bladder diverticulum
HP:0000016	increased post residual urine void volume
HP:0000016	retention urinary
HP:0000017	nycturia
HP:0000017	nocturia
HP:0000019	hesitancy urinary
HP:0000019	difficulty flow with
HP:0000020	incontinence urinary
HP:0000020	bladder control loss
HP:0000020	bladder incontinence
HP:0000021	megacystis
HP:0000022	abnormal genitalia internal male morphology
HP:0000023	hernia inguinal
HP:0000024	prostatitis
HP:0000024	inflammation prostate
HP:0000025	abnormality functional genitalia internal male
HP:0000026	hypogonadism male
HP:0000026	decreased function gonad male
HP:0000027	azoospermia
HP:0000027	absent semen sperm
HP:0000028	cryptorchism
HP:0000028	cryptorchidism
HP:0000028	testis undescended
HP:0000028	testes undescended
HP:0000029	degeneration testicular
HP:0000029	atrophy testicular
HP:0000030	gonadoblastoma male
HP:0000030	gonadoblastoma testicular
HP:0000031	epididymitis
HP:0000032	abnormality external genitalia male
HP:0000033	ambiguous genitalia males
HP:0000033	ambiguous genitalia male
HP:0000034	hydrocele
HP:0000034	hydrocele testicular
HP:0000034	hydrocele testis
HP:0000035	abnormality testis
HP:0000035	abnormal morphology testis
HP:0000035	anomaly testes
HP:0000036	abnormal morphology penis
HP:0000036	abnormality penis
HP:0000037	male pseudohermaphroditism
HP:0000039	epispadias
HP:0000040	enlarged penis
HP:0000040	long penis
HP:0000041	chordee
HP:0000042	absent external genitalia
HP:0000044	hypogonadism hypogonadotrophic
HP:0000044	hypogonadism hypogonadotropic
HP:0000044	gonadotropins hypogonadism low secondary
HP:0000044	hypogonadism hypogonadotropic isolated
HP:0000045	abnormality scrotum
HP:0000046	hypoplasia scrotal
HP:0000046	scrotum small
HP:0000046	hypoplastic scrotum
HP:0000046	scrotum underdeveloped
HP:0000046	growth scrotum smaller than typical
HP:0000047	hypospadia
HP:0000047	hypospadias
HP:0000048	bifid scrotum
HP:0000048	cleft scrotal
HP:0000048	cleft scrotum
HP:0000049	overriding scrotum
HP:0000049	penis scrotum surrounds
HP:0000049	scrotum shawl
HP:0000050	external genitalia male small
HP:0000050	genitalia male underdeveloped
HP:0000050	genitalia hypoplastic male
HP:0000050	external genitalia hypoplastic male
HP:0000051	hypospadias perineal
HP:0000052	atresia male urethral
HP:0000053	large testis
HP:0000053	macroorchidism
HP:0000053	large testicles
HP:0000054	micropenis
HP:0000054	penis short
HP:0000054	penis small
HP:0000055	abnormality external female genitalia
HP:0000055	abnormal external female genitalia
HP:0000056	abnormality clit
HP:0000056	abnormality clitoris
HP:0000058	abnormality labia
HP:0000058	abnormal labia morphology
HP:0000059	hypoplasia labia majora
HP:0000059	labia majora small
HP:0000059	lips underdeveloped vaginal
HP:0000059	hypoplastic labia majora
HP:0000060	clit underdeveloped
HP:0000060	clitoral hypoplasia
HP:0000060	clitoris hypoplastic
HP:0000060	clitoris small
HP:0000061	appearance atypical female genitals
HP:0000061	ambiguous due genitalia to virilization
HP:0000061	ambiguous female genitalia
HP:0000062	ambiguous genitalia
HP:0000062	ambiguous external genitalia
HP:0000062	ambiguous at birth external genitalia
HP:0000062	genitalia intersex
HP:0000063	fused inner lips
HP:0000063	fused labia minora
HP:0000064	hypoplastic labia minora
HP:0000064	inner lips underdeveloped
HP:0000065	enlarged lips vaginal
HP:0000065	hypertrophy labial
HP:0000065	enlargement labia
HP:0000065	enlargement lips vaginal
HP:0000066	hypoplasia labial
HP:0000066	hypoplastic labia
HP:0000066	labia underdeveloped
HP:0000067	atresia female urethral
HP:0000068	absent opening urethral
HP:0000068	atresia urethral
HP:0000069	anomalies ureteral
HP:0000069	abnormality ureter
HP:0000069	abnormality ureters
HP:0000069	issue ureter
HP:0000070	ureterocele
HP:0000071	narrowing ureter
HP:0000071	stenosis ureteral
HP:0000072	ureter wide
HP:0000072	megaureter
HP:0000072	swelling ureter
HP:0000072	hydroureter
HP:0000072	uroureter
HP:0000072	dilated ureter
HP:0000072	dilatation ureteral
HP:0000073	double ureter
HP:0000073	duplication ureteral
HP:0000074	junction obstruction ureteropelvic
HP:0000074	junction obstruction pelviureteric
HP:0000074	junction stenosis ureteropelvic
HP:0000075	extra kidney
